,ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Tags
74,315,Count of Smaller Numbers After Self,41.5%,Hard,3.2308315362449034, https://leetcode.com/problems/count-of-smaller-numbers-after-self,
75,246,Strobogrammatic Number,45.0%,Easy,3.223628779652069, https://leetcode.com/problems/strobogrammatic-number,Two Pointers
76,1231,Divide Chocolate,52.4%,Hard,3.208270334389882, https://leetcode.com/problems/divide-chocolate,
77,304,Range Sum Query 2D - Immutable,38.6%,Medium,3.1772508226762235, https://leetcode.com/problems/range-sum-query-2d-immutable,
78,818,Race Car,39.0%,Hard,3.164823517729811, https://leetcode.com/problems/race-car,
79,562,Longest Line of Consecutive One in Matrix,45.9%,Medium,3.145109674628592, https://leetcode.com/problems/longest-line-of-consecutive-one-in-matrix,
80,777,Swap Adjacent in LR String,34.8%,Medium,3.107379168236548, https://leetcode.com/problems/swap-adjacent-in-lr-string,Two Pointers
81,1168,Optimize Water Distribution in a Village,60.9%,Hard,3.1023420086122493, https://leetcode.com/problems/optimize-water-distribution-in-a-village,
82,360,Sort Transformed Array,48.8%,Medium,3.0831372738512024, https://leetcode.com/problems/sort-transformed-array,Two Pointers
83,10,Regular Expression Matching,26.8%,Hard,3.0747147505974577, https://leetcode.com/problems/regular-expression-matching,
84,280,Wiggle Sort,63.8%,Medium,3.073302155280412, https://leetcode.com/problems/wiggle-sort,
85,524,Longest Word in Dictionary through Deleting,48.4%,Medium,3.072239528663067, https://leetcode.com/problems/longest-word-in-dictionary-through-deleting,Two Pointers
86,417,Pacific Atlantic Water Flow,41.1%,Medium,3.03981211342324, https://leetcode.com/problems/pacific-atlantic-water-flow,
87,23,Merge k Sorted Lists,40.2%,Hard,3.039386344488108, https://leetcode.com/problems/merge-k-sorted-lists,
88,1087,Brace Expansion,62.7%,Medium,3.0249257901076283, https://leetcode.com/problems/brace-expansion,
89,329,Longest Increasing Path in a Matrix,43.4%,Hard,3.0194784424385475, https://leetcode.com/problems/longest-increasing-path-in-a-matrix,
90,284,Peeking Iterator,45.7%,Medium,2.9939930051892243, https://leetcode.com/problems/peeking-iterator,
91,205,Isomorphic Strings,39.8%,Easy,2.974388546456021, https://leetcode.com/problems/isomorphic-strings,
92,57,Insert Interval,33.5%,Hard,2.97402257970463, https://leetcode.com/problems/insert-interval,
93,85,Maximal Rectangle,37.7%,Hard,2.964026873717476, https://leetcode.com/problems/maximal-rectangle,
94,259,3Sum Smaller,47.6%,Medium,2.961393027644509, https://leetcode.com/problems/3sum-smaller,Two Pointers
95,736,Parse Lisp Expression,47.5%,Hard,2.959364629383116, https://leetcode.com/problems/parse-lisp-expression,
96,727,Minimum Window Subsequence,41.8%,Hard,2.954526908298268, https://leetcode.com/problems/minimum-window-subsequence,
97,544,Output Contest Matches,75.3%,Medium,2.9261234488600074, https://leetcode.com/problems/output-contest-matches,
98,527,Word Abbreviation,54.3%,Hard,2.9261234488600074, https://leetcode.com/problems/word-abbreviation,
99,279,Perfect Squares,47.4%,Medium,2.918896224606013, https://leetcode.com/problems/perfect-squares,
100,274,H-Index,36.1%,Medium,2.908129696099074, https://leetcode.com/problems/h-index,
101,3,Longest Substring Without Repeating Characters,30.4%,Medium,2.8994530726547287, https://leetcode.com/problems/longest-substring-without-repeating-characters,
102,731,My Calendar II,49.1%,Medium,2.894068619777491, https://leetcode.com/problems/my-calendar-ii,
103,766,Toeplitz Matrix,65.1%,Easy,2.880131111933709, https://leetcode.com/problems/toeplitz-matrix,
104,294,Flip Game II,50.0%,Medium,2.87957606515677, https://leetcode.com/problems/flip-game-ii,
105,157,Read N Characters Given Read4,34.2%,Easy,2.8620515045754678, https://leetcode.com/problems/read-n-characters-given-read4,
106,1146,Snapshot Array,37.0%,Medium,2.853997465518477, https://leetcode.com/problems/snapshot-array,
107,345,Reverse Vowels of a String,44.2%,Easy,2.8469976121950618, https://leetcode.com/problems/reverse-vowels-of-a-string,Two Pointers
108,295,Find Median from Data Stream,44.3%,Hard,2.8300178150737505, https://leetcode.com/problems/find-median-from-data-stream,Two Pointers
109,846,Hand of Straights,54.2%,Medium,2.8166447091052693, https://leetcode.com/problems/hand-of-straights,
110,913,Cat and Mouse,31.3%,Hard,2.812298987907346, https://leetcode.com/problems/cat-and-mouse,
111,552,Student Attendance Record II,36.7%,Hard,2.76905139983893, https://leetcode.com/problems/student-attendance-record-ii,
112,1066,Campus Bikes II,54.2%,Medium,2.7658351992240013, https://leetcode.com/problems/campus-bikes-ii,
113,76,Minimum Window Substring,34.6%,Hard,2.753906540615101, https://leetcode.com/problems/minimum-window-substring,
114,363,Max Sum of Rectangle No Larger Than K,37.3%,Hard,2.7093314312582586, https://leetcode.com/problems/max-sum-of-rectangle-no-larger-than-k,
115,849,Maximize Distance to Closest Person,42.6%,Easy,2.70914942752668, https://leetcode.com/problems/maximize-distance-to-closest-person,
116,54,Spiral Matrix,34.1%,Medium,2.708006093833325, https://leetcode.com/problems/spiral-matrix,
117,15,3Sum,26.8%,Medium,2.702273135010205, https://leetcode.com/problems/3sum,Two Pointers
118,221,Maximal Square,37.7%,Medium,2.681130404099715, https://leetcode.com/problems/maximal-square,
119,17,Letter Combinations of a Phone Number,46.8%,Medium,2.68025676002709, https://leetcode.com/problems/letter-combinations-of-a-phone-number,
120,616,Add Bold Tag in String,43.1%,Medium,2.6661443634782542, https://leetcode.com/problems/add-bold-tag-in-string,
121,297,Serialize and Deserialize Binary Tree,47.5%,Hard,2.6484489664313173, https://leetcode.com/problems/serialize-and-deserialize-binary-tree,
122,362,Design Hit Counter,63.7%,Medium,2.598395990569684, https://leetcode.com/problems/design-hit-counter,
123,981,Time Based Key-Value Store,53.1%,Medium,2.5975702025088925, https://leetcode.com/problems/time-based-key-value-store,
124,276,Paint Fence,38.3%,Easy,2.595102395632224, https://leetcode.com/problems/paint-fence,
125,837,New 21 Game,34.6%,Medium,2.5842363584035155, https://leetcode.com/problems/new-21-game,
126,224,Basic Calculator,36.8%,Hard,2.580473601965029, https://leetcode.com/problems/basic-calculator,
127,911,Online Election,50.4%,Medium,2.5785176483169177, https://leetcode.com/problems/online-election,
128,558,Logical OR of Two Binary Grids Represented as Quad-Trees,44.6%,Medium,2.571814372981217, https://leetcode.com/problems/logical-or-of-two-binary-grids-represented-as-quad-trees,
129,687,Longest Univalue Path,36.2%,Easy,2.567963195991046, https://leetcode.com/problems/longest-univalue-path,
130,490,The Maze,51.4%,Medium,2.5593731348341007, https://leetcode.com/problems/the-maze,
131,659,Split Array into Consecutive Subsequences,43.7%,Medium,2.526838205136916, https://leetcode.com/problems/split-array-into-consecutive-subsequences,
132,380,Insert Delete GetRandom O(1),47.5%,Medium,2.5184085547652333, https://leetcode.com/problems/insert-delete-getrandom-o1,
133,715,Range Module,38.5%,Hard,2.515902750156964, https://leetcode.com/problems/range-module,
134,528,Random Pick with Weight,43.9%,Medium,2.509596225361694, https://leetcode.com/problems/random-pick-with-weight,
135,166,Fraction to Recurring Decimal,21.6%,Medium,2.5048506298301927, https://leetcode.com/problems/fraction-to-recurring-decimal,
136,139,Word Break,40.1%,Medium,2.498864325939262, https://leetcode.com/problems/word-break,
137,403,Frog Jump,39.7%,Hard,2.4880206406678638, https://leetcode.com/problems/frog-jump,
138,135,Candy,31.6%,Hard,2.4770714018179407, https://leetcode.com/problems/candy,
139,406,Queue Reconstruction by Height,66.9%,Medium,2.463643690835622, https://leetcode.com/problems/queue-reconstruction-by-height,
140,20,Valid Parentheses,39.0%,Easy,2.455313346653808, https://leetcode.com/problems/valid-parentheses,
141,505,The Maze II,47.7%,Medium,2.455044351095574, https://leetcode.com/problems/the-maze-ii,
142,226,Invert Binary Tree,65.0%,Easy,2.438123583553808, https://leetcode.com/problems/invert-binary-tree,
143,723,Candy Crush,69.2%,Medium,2.413829325662411, https://leetcode.com/problems/candy-crush,Two Pointers
144,900,RLE Iterator,53.5%,Medium,2.412451570572578, https://leetcode.com/problems/rle-iterator,
145,375,Guess Number Higher or Lower II,40.3%,Medium,2.412208895973755, https://leetcode.com/problems/guess-number-higher-or-lower-ii,
146,457,Circular Array Loop,29.4%,Medium,2.4087237489359508, https://leetcode.com/problems/circular-array-loop,Two Pointers
147,269,Alien Dictionary,33.3%,Hard,2.401963626660419, https://leetcode.com/problems/alien-dictionary,
148,722,Remove Comments,34.6%,Medium,2.391299564349348, https://leetcode.com/problems/remove-comments,
149,850,Rectangle Area II,47.5%,Hard,2.389853412007957, https://leetcode.com/problems/rectangle-area-ii,
150,128,Longest Consecutive Sequence,45.1%,Hard,2.388969236866428, https://leetcode.com/problems/longest-consecutive-sequence,
151,31,Next Permutation,32.6%,Medium,2.384562291758848, https://leetcode.com/problems/next-permutation,Two Pointers
152,1170,Compare Strings by Frequency of the Smallest Character,58.7%,Easy,2.380621199972535, https://leetcode.com/problems/compare-strings-by-frequency-of-the-smallest-character,
153,5,Longest Palindromic Substring,29.5%,Medium,2.378625542244051, https://leetcode.com/problems/longest-palindromic-substring,Two Pointers
154,318,Maximum Product of Word Lengths,51.2%,Medium,2.377626415518863, https://leetcode.com/problems/maximum-product-of-word-lengths,
155,353,Design Snake Game,34.2%,Medium,2.374942034436538, https://leetcode.com/problems/design-snake-game,
156,391,Perfect Rectangle,30.5%,Hard,2.360954357382845, https://leetcode.com/problems/perfect-rectangle,
157,249,Group Shifted Strings,55.1%,Medium,2.3589773320503338, https://leetcode.com/problems/group-shifted-strings,
158,729,My Calendar I,51.8%,Medium,2.351286906233527, https://leetcode.com/problems/my-calendar-i,
159,341,Flatten Nested List Iterator,52.9%,Medium,2.334951662949692, https://leetcode.com/problems/flatten-nested-list-iterator,
160,951,Flip Equivalent Binary Trees,65.8%,Medium,2.3261691532245137, https://leetcode.com/problems/flip-equivalent-binary-trees,
161,72,Edit Distance,44.8%,Hard,2.308682749366407, https://leetcode.com/problems/edit-distance,
162,320,Generalized Abbreviation,52.1%,Medium,2.287272370970718, https://leetcode.com/problems/generalized-abbreviation,
163,332,Reconstruct Itinerary,36.7%,Medium,2.2676322677470853, https://leetcode.com/problems/reconstruct-itinerary,
164,835,Image Overlap,58.5%,Medium,2.2640988039628858, https://leetcode.com/problems/image-overlap,
165,401,Binary Watch,47.5%,Easy,2.246794842528927, https://leetcode.com/problems/binary-watch,
166,354,Russian Doll Envelopes,35.6%,Hard,2.236076201124014, https://leetcode.com/problems/russian-doll-envelopes,
167,124,Binary Tree Maximum Path Sum,34.3%,Hard,2.2216093472081075, https://leetcode.com/problems/binary-tree-maximum-path-sum,
168,444,Sequence Reconstruction,22.2%,Medium,2.217786049374021, https://leetcode.com/problems/sequence-reconstruction,
169,239,Sliding Window Maximum,43.0%,Hard,2.2105289311276617, https://leetcode.com/problems/sliding-window-maximum,
170,943,Find the Shortest Superstring,42.9%,Hard,2.183127427581185, https://leetcode.com/problems/find-the-shortest-superstring,
171,400,Nth Digit,31.7%,Medium,2.1683677508742374, https://leetcode.com/problems/nth-digit,
172,285,Inorder Successor in BST,40.4%,Medium,2.166776365319761, https://leetcode.com/problems/inorder-successor-in-bst,
173,43,Multiply Strings,33.9%,Medium,2.1663332897105017, https://leetcode.com/problems/multiply-strings,
174,208,Implement Trie (Prefix Tree),49.4%,Medium,2.1624789340540973, https://leetcode.com/problems/implement-trie-prefix-tree,
175,745,Prefix and Suffix Search,34.1%,Hard,2.161230974688314, https://leetcode.com/problems/prefix-and-suffix-search,
176,963,Minimum Area Rectangle II,50.9%,Medium,2.1572192427225203, https://leetcode.com/problems/minimum-area-rectangle-ii,
177,788,Rotated Digits,57.1%,Easy,2.128352559073175, https://leetcode.com/problems/rotated-digits,
178,484,Find Permutation,60.5%,Medium,2.1230183588789355, https://leetcode.com/problems/find-permutation,
179,369,Plus One Linked List,58.2%,Medium,2.103037362276518, https://leetcode.com/problems/plus-one-linked-list,
180,162,Find Peak Element,43.3%,Medium,2.097923147793266, https://leetcode.com/problems/find-peak-element,
181,133,Clone Graph,34.8%,Medium,2.093083764564862, https://leetcode.com/problems/clone-graph,
182,38,Count and Say,44.6%,Easy,2.0886590981708664, https://leetcode.com/problems/count-and-say,
183,34,Find First and Last Position of Element in Sorted Array,36.2%,Medium,2.077190953113431, https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,
184,447,Number of Boomerangs,51.8%,Easy,2.070710491182991, https://leetcode.com/problems/number-of-boomerangs,
185,336,Palindrome Pairs,33.7%,Hard,2.068730116946457, https://leetcode.com/problems/palindrome-pairs,
186,127,Word Ladder,29.6%,Medium,2.0451263181434545, https://leetcode.com/problems/word-ladder,
187,91,Decode Ways,24.7%,Medium,2.0435615456140264, https://leetcode.com/problems/decode-ways,
188,215,Kth Largest Element in an Array,55.4%,Medium,2.024566184680276, https://leetcode.com/problems/kth-largest-element-in-an-array,
189,946,Validate Stack Sequences,61.9%,Medium,2.0189151696320264, https://leetcode.com/problems/validate-stack-sequences,
190,293,Flip Game,60.7%,Easy,2.0049678986989146, https://leetcode.com/problems/flip-game,
191,33,Search in Rotated Sorted Array,34.5%,Medium,1.982840493476099, https://leetcode.com/problems/search-in-rotated-sorted-array,
192,459,Repeated Substring Pattern,42.2%,Easy,1.981281170892517, https://leetcode.com/problems/repeated-substring-pattern,
193,11,Container With Most Water,50.8%,Medium,1.9770870605892752, https://leetcode.com/problems/container-with-most-water,Two Pointers
194,1032,Stream of Characters,48.3%,Hard,1.9744627782694404, https://leetcode.com/problems/stream-of-characters,
195,334,Increasing Triplet Subsequence,40.0%,Medium,1.9678676896894796, https://leetcode.com/problems/increasing-triplet-subsequence,
196,44,Wildcard Matching,24.7%,Hard,1.9579596678839928, https://leetcode.com/problems/wildcard-matching,
197,325,Maximum Size Subarray Sum Equals k,46.8%,Medium,1.957338844878936, https://leetcode.com/problems/maximum-size-subarray-sum-equals-k,
198,497,Random Point in Non-overlapping Rectangles,37.8%,Medium,1.957330687174188, https://leetcode.com/problems/random-point-in-non-overlapping-rectangles,
199,817,Linked List Components,57.3%,Medium,1.9517638243067736, https://leetcode.com/problems/linked-list-components,
200,286,Walls and Gates,54.5%,Medium,1.948761543137523, https://leetcode.com/problems/walls-and-gates,
201,1048,Longest String Chain,54.7%,Medium,1.944093110327692, https://leetcode.com/problems/longest-string-chain,Two Pointers
202,138,Copy List with Random Pointer,36.4%,Medium,1.941330735041384, https://leetcode.com/problems/copy-list-with-random-pointer,
203,815,Bus Routes,42.5%,Hard,1.9383504626870616, https://leetcode.com/problems/bus-routes,
204,772,Basic Calculator III,41.3%,Hard,1.93133194589594, https://leetcode.com/problems/basic-calculator-iii,
205,173,Binary Search Tree Iterator,56.6%,Medium,1.9114667046485276, https://leetcode.com/problems/binary-search-tree-iterator,
206,150,Evaluate Reverse Polish Notation,36.3%,Medium,1.9012041599672849, https://leetcode.com/problems/evaluate-reverse-polish-notation,
207,743,Network Delay Time,45.0%,Medium,1.8954674499549915, https://leetcode.com/problems/network-delay-time,
208,53,Maximum Subarray,46.5%,Easy,1.8935176696430995, https://leetcode.com/problems/maximum-subarray,
209,752,Open the Lock,51.8%,Medium,1.8871450737679576, https://leetcode.com/problems/open-the-lock,
210,130,Surrounded Regions,28.1%,Medium,1.8816381329635723, https://leetcode.com/problems/surrounded-regions,
211,871,Minimum Number of Refueling Stops,31.4%,Hard,1.8726289648775856, https://leetcode.com/problems/minimum-number-of-refueling-stops,
212,155,Min Stack,44.5%,Easy,1.8722323336408635, https://leetcode.com/problems/min-stack,
213,685,Redundant Connection II,32.4%,Hard,1.8709822647033896, https://leetcode.com/problems/redundant-connection-ii,
214,529,Minesweeper,59.1%,Medium,1.8679660780386984, https://leetcode.com/problems/minesweeper,
215,800,Similar RGB Color,61.4%,Easy,1.8647846042429448, https://leetcode.com/problems/similar-rgb-color,
216,1240,Tiling a Rectangle with the Fewest Squares,50.1%,Hard,1.8643301620628905, https://leetcode.com/problems/tiling-a-rectangle-with-the-fewest-squares,
217,407,Trapping Rain Water II,42.4%,Hard,1.8590583049537268, https://leetcode.com/problems/trapping-rain-water-ii,
218,168,Excel Sheet Column Title,31.1%,Easy,1.8498247657212512, https://leetcode.com/problems/excel-sheet-column-title,
219,411,Minimum Unique Word Abbreviation,36.3%,Hard,1.843584537092641, https://leetcode.com/problems/minimum-unique-word-abbreviation,
220,161,One Edit Distance,32.3%,Medium,1.843491263951507, https://leetcode.com/problems/one-edit-distance,Two Pointers
221,427,Construct Quad Tree,61.4%,Medium,1.830397261933469, https://leetcode.com/problems/construct-quad-tree,
222,41,First Missing Positive,32.0%,Hard,1.8284630090160665, https://leetcode.com/problems/first-missing-positive,
223,801,Minimum Swaps To Make Sequences Increasing,38.9%,Medium,1.8139622880364348, https://leetcode.com/problems/minimum-swaps-to-make-sequences-increasing,
224,428,Serialize and Deserialize N-ary Tree,59.4%,Hard,1.8126370542496104, https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree,
225,498,Diagonal Traverse,48.2%,Medium,1.807360409670535, https://leetcode.com/problems/diagonal-traverse,
226,307,Range Sum Query - Mutable,34.6%,Medium,1.8015483881157928, https://leetcode.com/problems/range-sum-query-mutable,
227,37,Sudoku Solver,43.6%,Hard,1.7925251074248625, https://leetcode.com/problems/sudoku-solver,
228,324,Wiggle Sort II,29.9%,Medium,1.786845454425626, https://leetcode.com/problems/wiggle-sort-ii,
229,22,Generate Parentheses,62.7%,Medium,1.7757890873922186, https://leetcode.com/problems/generate-parentheses,
