,ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,DS,Present in List
57,2,Add Two Numbers,33.90%,Medium,3.516113248, https://leetcode.com/problems/add-two-numbers,,Yes
58,1096,Brace Expansion II,62.20%,Hard,3.504555895, https://leetcode.com/problems/brace-expansion-ii,,No
59,253,Meeting Rooms II,45.70%,Medium,3.502438697, https://leetcode.com/problems/meeting-rooms-ii,,No
60,1055,Shortest Way to Form String,56.90%,Medium,3.494570163, https://leetcode.com/problems/shortest-way-to-form-string,,No
61,158,Read N Characters Given Read4 II - Call multiple times,33.80%,Hard,3.484084287, https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times,,No
62,465,Optimal Account Balancing,46.90%,Hard,3.462697997, https://leetcode.com/problems/optimal-account-balancing,,No
63,4,Median of Two Sorted Arrays,29.60%,Hard,3.453368563, https://leetcode.com/problems/median-of-two-sorted-arrays,,Yes
64,68,Text Justification,27.70%,Hard,3.450799221, https://leetcode.com/problems/text-justification,,No
65,803,Bricks Falling When Hit,30.80%,Hard,3.426856541, https://leetcode.com/problems/bricks-falling-when-hit,,No
66,1110,Delete Nodes And Return Forest,67.00%,Medium,3.418885699, https://leetcode.com/problems/delete-nodes-and-return-forest,Tree,No
67,289,Game of Life,54.50%,Medium,3.413628891, https://leetcode.com/problems/game-of-life,,No
68,317,Shortest Distance from All Buildings,41.40%,Hard,3.409672009, https://leetcode.com/problems/shortest-distance-from-all-buildings,,No
69,1153,String Transforms Into Another String,35.80%,Hard,3.390891238, https://leetcode.com/problems/string-transforms-into-another-string,,No
70,833,Find And Replace in String,50.40%,Medium,3.385973686, https://leetcode.com/problems/find-and-replace-in-string,,No
71,1088,Confusing Number II,44.00%,Hard,3.349904087, https://leetcode.com/problems/confusing-number-ii,,No
72,750,Number Of Corner Rectangles,66.40%,Medium,3.246154672, https://leetcode.com/problems/number-of-corner-rectangles,,No
73,247,Strobogrammatic Number II,47.60%,Medium,3.245129857, https://leetcode.com/problems/strobogrammatic-number-ii,,No
74,315,Count of Smaller Numbers After Self,41.50%,Hard,3.230831536, https://leetcode.com/problems/count-of-smaller-numbers-after-self,,No
75,246,Strobogrammatic Number,45.00%,Easy,3.22362878, https://leetcode.com/problems/strobogrammatic-number,,No
76,1231,Divide Chocolate,52.40%,Hard,3.208270334, https://leetcode.com/problems/divide-chocolate,,No
77,304,Range Sum Query 2D - Immutable,38.60%,Medium,3.177250823, https://leetcode.com/problems/range-sum-query-2d-immutable,,No
78,818,Race Car,39.00%,Hard,3.164823518, https://leetcode.com/problems/race-car,,No
79,562,Longest Line of Consecutive One in Matrix,45.90%,Medium,3.145109675, https://leetcode.com/problems/longest-line-of-consecutive-one-in-matrix,,No
80,777,Swap Adjacent in LR String,34.80%,Medium,3.107379168, https://leetcode.com/problems/swap-adjacent-in-lr-string,,No
81,1168,Optimize Water Distribution in a Village,60.90%,Hard,3.102342009, https://leetcode.com/problems/optimize-water-distribution-in-a-village,,No
82,360,Sort Transformed Array,48.80%,Medium,3.083137274, https://leetcode.com/problems/sort-transformed-array,,No
83,10,Regular Expression Matching,26.80%,Hard,3.074714751, https://leetcode.com/problems/regular-expression-matching,,No
84,280,Wiggle Sort,63.80%,Medium,3.073302155, https://leetcode.com/problems/wiggle-sort,,No
85,524,Longest Word in Dictionary through Deleting,48.40%,Medium,3.072239529, https://leetcode.com/problems/longest-word-in-dictionary-through-deleting,,No
86,417,Pacific Atlantic Water Flow,41.10%,Medium,3.039812113, https://leetcode.com/problems/pacific-atlantic-water-flow,,No
87,23,Merge k Sorted Lists,40.20%,Hard,3.039386344, https://leetcode.com/problems/merge-k-sorted-lists,,Yes
88,1087,Brace Expansion,62.70%,Medium,3.02492579, https://leetcode.com/problems/brace-expansion,,No
89,329,Longest Increasing Path in a Matrix,43.40%,Hard,3.019478442, https://leetcode.com/problems/longest-increasing-path-in-a-matrix,,No
90,284,Peeking Iterator,45.70%,Medium,2.993993005, https://leetcode.com/problems/peeking-iterator,,No
91,205,Isomorphic Strings,39.80%,Easy,2.974388546, https://leetcode.com/problems/isomorphic-strings,,Yes
92,57,Insert Interval,33.50%,Hard,2.97402258, https://leetcode.com/problems/insert-interval,,Yes
93,85,Maximal Rectangle,37.70%,Hard,2.964026874, https://leetcode.com/problems/maximal-rectangle,,Yes
94,259,3Sum Smaller,47.60%,Medium,2.961393028, https://leetcode.com/problems/3sum-smaller,,No
95,736,Parse Lisp Expression,47.50%,Hard,2.959364629, https://leetcode.com/problems/parse-lisp-expression,,No
96,727,Minimum Window Subsequence,41.80%,Hard,2.954526908, https://leetcode.com/problems/minimum-window-subsequence,,Yes
97,544,Output Contest Matches,75.30%,Medium,2.926123449, https://leetcode.com/problems/output-contest-matches,,No
98,527,Word Abbreviation,54.30%,Hard,2.926123449, https://leetcode.com/problems/word-abbreviation,,No
99,279,Perfect Squares,47.40%,Medium,2.918896225, https://leetcode.com/problems/perfect-squares,,No
100,274,H-Index,36.10%,Medium,2.908129696, https://leetcode.com/problems/h-index,,No
101,3,Longest Substring Without Repeating Characters,30.40%,Medium,2.899453073, https://leetcode.com/problems/longest-substring-without-repeating-characters,,Yes
102,731,My Calendar II,49.10%,Medium,2.89406862, https://leetcode.com/problems/my-calendar-ii,,No
103,766,Toeplitz Matrix,65.10%,Easy,2.880131112, https://leetcode.com/problems/toeplitz-matrix,,No
104,294,Flip Game II,50.00%,Medium,2.879576065, https://leetcode.com/problems/flip-game-ii,,No
105,157,Read N Characters Given Read4,34.20%,Easy,2.862051505, https://leetcode.com/problems/read-n-characters-given-read4,,No
106,1146,Snapshot Array,37.00%,Medium,2.853997466, https://leetcode.com/problems/snapshot-array,,No
107,345,Reverse Vowels of a String,44.20%,Easy,2.846997612, https://leetcode.com/problems/reverse-vowels-of-a-string,,No
108,295,Find Median from Data Stream,44.30%,Hard,2.830017815, https://leetcode.com/problems/find-median-from-data-stream,,Yes
109,846,Hand of Straights,54.20%,Medium,2.816644709, https://leetcode.com/problems/hand-of-straights,,Yes
110,913,Cat and Mouse,31.30%,Hard,2.812298988, https://leetcode.com/problems/cat-and-mouse,,No
111,552,Student Attendance Record II,36.70%,Hard,2.7690514, https://leetcode.com/problems/student-attendance-record-ii,,No
112,1066,Campus Bikes II,54.20%,Medium,2.765835199, https://leetcode.com/problems/campus-bikes-ii,,No
113,76,Minimum Window Substring,34.60%,Hard,2.753906541, https://leetcode.com/problems/minimum-window-substring,,Yes
114,363,Max Sum of Rectangle No Larger Than K,37.30%,Hard,2.709331431, https://leetcode.com/problems/max-sum-of-rectangle-no-larger-than-k,,No
115,849,Maximize Distance to Closest Person,42.60%,Easy,2.709149428, https://leetcode.com/problems/maximize-distance-to-closest-person,,No
116,54,Spiral Matrix,34.10%,Medium,2.708006094, https://leetcode.com/problems/spiral-matrix,,Yes
117,15,3Sum,26.80%,Medium,2.702273135, https://leetcode.com/problems/3sum,,Yes
118,221,Maximal Square,37.70%,Medium,2.681130404, https://leetcode.com/problems/maximal-square,,No
119,17,Letter Combinations of a Phone Number,46.80%,Medium,2.68025676, https://leetcode.com/problems/letter-combinations-of-a-phone-number,,Yes
120,616,Add Bold Tag in String,43.10%,Medium,2.666144363, https://leetcode.com/problems/add-bold-tag-in-string,,No
121,297,Serialize and Deserialize Binary Tree,47.50%,Hard,2.648448966, https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Tree,Yes
122,362,Design Hit Counter,63.70%,Medium,2.598395991, https://leetcode.com/problems/design-hit-counter,,No
123,981,Time Based Key-Value Store,53.10%,Medium,2.597570203, https://leetcode.com/problems/time-based-key-value-store,,No
124,276,Paint Fence,38.30%,Easy,2.595102396, https://leetcode.com/problems/paint-fence,,No
125,837,New 21 Game,34.60%,Medium,2.584236358, https://leetcode.com/problems/new-21-game,,No
126,224,Basic Calculator,36.80%,Hard,2.580473602, https://leetcode.com/problems/basic-calculator,,No
127,911,Online Election,50.40%,Medium,2.578517648, https://leetcode.com/problems/online-election,,No
128,558,Logical OR of Two Binary Grids Represented as Quad-Trees,44.60%,Medium,2.571814373, https://leetcode.com/problems/logical-or-of-two-binary-grids-represented-as-quad-trees,,No
129,687,Longest Univalue Path,36.20%,Easy,2.567963196, https://leetcode.com/problems/longest-univalue-path,Tree,No
130,490,The Maze,51.40%,Medium,2.559373135, https://leetcode.com/problems/the-maze,,No
131,659,Split Array into Consecutive Subsequences,43.70%,Medium,2.526838205, https://leetcode.com/problems/split-array-into-consecutive-subsequences,,No
132,380,Insert Delete GetRandom O(1),47.50%,Medium,2.518408555, https://leetcode.com/problems/insert-delete-getrandom-o1,,No
133,715,Range Module,38.50%,Hard,2.51590275, https://leetcode.com/problems/range-module,,No
134,528,Random Pick with Weight,43.90%,Medium,2.509596225, https://leetcode.com/problems/random-pick-with-weight,,No
135,166,Fraction to Recurring Decimal,21.60%,Medium,2.50485063, https://leetcode.com/problems/fraction-to-recurring-decimal,,No
136,139,Word Break,40.10%,Medium,2.498864326, https://leetcode.com/problems/word-break,,Yes
137,403,Frog Jump,39.70%,Hard,2.488020641, https://leetcode.com/problems/frog-jump,,No
138,135,Candy,31.60%,Hard,2.477071402, https://leetcode.com/problems/candy,,Yes
139,406,Queue Reconstruction by Height,66.90%,Medium,2.463643691, https://leetcode.com/problems/queue-reconstruction-by-height,,No
140,20,Valid Parentheses,39.00%,Easy,2.455313347, https://leetcode.com/problems/valid-parentheses,,Yes
141,505,The Maze II,47.70%,Medium,2.455044351, https://leetcode.com/problems/the-maze-ii,,No
142,226,Invert Binary Tree,65.00%,Easy,2.438123584, https://leetcode.com/problems/invert-binary-tree,Tree,No
143,723,Candy Crush,69.20%,Medium,2.413829326, https://leetcode.com/problems/candy-crush,,No
144,900,RLE Iterator,53.50%,Medium,2.412451571, https://leetcode.com/problems/rle-iterator,,No
145,375,Guess Number Higher or Lower II,40.30%,Medium,2.412208896, https://leetcode.com/problems/guess-number-higher-or-lower-ii,,No
146,457,Circular Array Loop,29.40%,Medium,2.408723749, https://leetcode.com/problems/circular-array-loop,,No
147,269,Alien Dictionary,33.30%,Hard,2.401963627, https://leetcode.com/problems/alien-dictionary,,Yes
148,722,Remove Comments,34.60%,Medium,2.391299564, https://leetcode.com/problems/remove-comments,,No
